company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
1941,408133.0,408133.0,408133.0,408133.0,408133.0,408133.0,408133.0,408133.0,2118673.0,2118673.0,2118673.0,2118673.0,2118673.0,6107133.0,6107133.0,6107133.0,6107133.0,6107133.0
1942,300000.0,300000.0,300000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0
1943,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0
1944,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0
1945,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,7000000.0,11379000.0,14379000.0,14379000.0,14379000.0,14379000.0,14379000.0,14379000.0
1946,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0
1947,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,2350000.0,2350000.0,2350000.0,2350000.0,2350000.0,2350000.0,2350000.0,2350000.0
1948,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0
1949,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,6929000.0,6929000.0,6929000.0,6929000.0,8929000.0,8929000.0,10929000.0,20929000.0,20929000.0,35929000.0
1950,0.0,0.0,0.0,0.0,3500000.0,3500000.0,3500000.0,3500000.0,16100000.0,16100000.0,16100000.0,16100000.0,16100000.0,16100000.0,16100000.0,16100000.0,34600000.0,34600000.0
1951,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,6698833.0,6698833.0,6698833.0,6698833.0,9398833.0,9398833.0,9398833.0
